0,The Hindu,0,National,th,national,FALSE
0,The Hindu,1,International,th,international,FALSE
0,The Hindu,2,Sports,th,sports,FALSE
0,The Hindu,3,Science,th,science,FALSE
0,The Hindu,4,Entertainment,th,entertainment,FALSE
1,The Times of India,0,National,toi,national,FALSE
1,The Times of India,1,International,toi,international,FALSE
1,The Times of India,2,Sports,toi,sports,FALSE
1,The Times of India,3,Science,toi,science,FALSE
1,The Times of India,4,Entertainment,toi,entertainment,FALSE
